"Instituto Nacional de Estadística y Geografía",
"Índices de Precios al Consumidor",
"",
"Fecha de consulta: 28/08/2021 16:56:24",

"Título","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, Subyacente","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, Subyacente, Mercancías","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, Subyacente, Mercancías, Alimentos, bebidas y tabaco","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, Subyacente, Mercancías, Mercancías no alimenticias","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, Subyacente, Servicios","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, Subyacente, Servicios, Vivienda","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, Subyacente, Servicios, Educación (colegiaturas)","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, Subyacente, Servicios, Otros servicios","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, No subyacente","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, No subyacente, Agropecuarios","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, No subyacente, Agropecuarios, Frutas y verduras","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, No subyacente, Agropecuarios, Pecuarios","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno, Energéticos","Índice nacional de precios al consumidor. Base segunda quincena de Julio 2018 (quincenal), Resumen, Subíndices subyacente y complementarios, No subyacente, Energéticos y tarifas autorizadas por el gobierno, Tarifas autorizadas por el gobierno"
"Periodo disponible","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021","1Q Ene 1988-1Q Ago 2021"
"Periodicidad","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal","Quincenal"
"Cifra","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices"
"Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad","Sin Unidad"
"Base","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100","Índice base segunda quincena de julio 2018 = 100"
"Aviso","Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.
  SP74632","Las desagregaciones del INPC solo tienen valor informativo.
  SP74633","Las desagregaciones del INPC solo tienen valor informativo.
  SP66536","Las desagregaciones del INPC solo tienen valor informativo.
  SP74634","Las desagregaciones del INPC solo tienen valor informativo.
  SP74635","Las desagregaciones del INPC solo tienen valor informativo.
  SP66538","Las desagregaciones del INPC solo tienen valor informativo.
  SP56384","Las desagregaciones del INPC solo tienen valor informativo.
  SP74636","Las desagregaciones del INPC solo tienen valor informativo.
  SP74637","Las desagregaciones del INPC solo tienen valor informativo.
  SP56378","Las desagregaciones del INPC solo tienen valor informativo.
  SP56379","Las desagregaciones del INPC solo tienen valor informativo.
  SP56380","Las desagregaciones del INPC solo tienen valor informativo.
  SP74638","Las desagregaciones del INPC solo tienen valor informativo.
  SP56382","Las desagregaciones del INPC solo tienen valor informativo.
  SP74639"
"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices"
"Fecha","539368","539369","539370","539371","539372","539373","539374","539375","539376","539377","539378","539379","539380","539381","539382","539383"
"1Q Ene 2000","44.809270260844","48.801160155926","47.992069407532","37.727428151141","57.714885821868","48.973220897037","54.657940768326","31.650997571408","49.893289936776","33.976642346637","35.866554069698","36.467270222505","35.452439337508","32.448902993055","29.242028903839","38.993265479428"
"2Q Ene 2000","45.052246335988","49.137179295129","48.277050512009","38.012195244200","57.984337008682","49.365961906588","55.004133418717","32.152530627594","50.294516102414","34.017754186501","35.446798565436","35.396890275803","35.447264315063","32.857006825478","29.207867187572","40.157381225953"
"1Q Feb 2000","45.272547144596","49.413209412912","48.553767321363","38.232713544244","58.313512351272","49.636536476953","55.306788481438","32.183850194677","50.614271309057","34.112553778683","35.336706643136","34.626217728866","35.757817816964","33.114911937530","29.572934519316","40.244957529132"
"2Q Feb 2000","45.386070086828","49.602727066041","48.749020600099","38.400362937631","58.531245364947","49.815878377804","55.477939482248","32.201693989825","50.852112496455","34.066643542746","35.145576311409","33.992757402727","35.848458679119","33.184680799128","29.592888152203","40.400738463926"
"1Q Mar 2000","45.530449419862","49.756947765474","48.927098744545","38.531624685567","58.755929606701","49.938378229555","55.619770587657","32.204423944245","50.996361913367","34.181998696212","35.025130687268","33.443734278958","36.000966510310","33.487742862957","30.001675298647","40.537507586438"
"2Q Mar 2000","45.631055697244","49.899393593517","49.073228796217","38.662907629636","58.911873134774","50.073941357900","55.797536939610","32.212921697100","51.136630565131","34.191840483913","35.020827457781","33.483053013533","35.968895849305","33.508842703544","30.003557246533","40.591579921402"
"1Q Abr 2000","45.786342677910","50.047320297481","49.199324873404","38.762322937348","59.063166786248","50.246059595862","55.993043477997","32.212921697100","51.343703254123","34.352735346864","35.191507816650","34.113883789046","35.846477986806","33.661837339378","30.214547152055","40.652877543596"
